,ticker,Previous Close,Open,Bid,Ask,Day's Range,52 Week Range,Volume,Avg. Volume,Market Cap,Beta (5Y Monthly),PE Ratio (TTM),EPS (TTM),Earnings Date,Forward Dividend & Yield,Ex-Dividend Date,1y Target Est
58,BIO,664.48,668.25,0.00 x 1100,764.87 x 800,658.60 - 678.69,545.00 - 832.70,"129,173","114,144",20.269B,0.86,3.06,220.48,"Feb 09, 2022 - Feb 14, 2022",N/A (N/A),N/A,918.75
59,TECH,517.34,516.63,487.42 x 800,486.97 x 900,485.32 - 519.05,311.03 - 543.85,"243,250","171,042",19.168B,1.13,112.47,4.34,"Jan 31, 2022 - Feb 04, 2022",1.28 (0.25%),"Nov 10, 2021",554.20
60,BIIB,225.34,225.30,236.06 x 900,239.61 x 1800,225.55 - 239.64,217.10 - 468.55,"3,726,535","1,519,576",34.765B,0.42,23.16,10.22,"Feb 01, 2022 - Feb 07, 2022",N/A (N/A),N/A,296.60
61,BLK,885.11,890.73,866.64 x 1000,867.08 x 800,864.12 - 891.16,670.28 - 973.16,"757,515","513,755",131.8B,1.19,23.07,37.61,"Jan 14, 2022",16.52 (1.87%),"Dec 06, 2021","1,021.67"
62,BK,63.55,63.56,63.61 x 900,63.62 x 800,63.49 - 64.53,39.46 - 64.53,"3,729,326","4,088,238",52.564B,1.16,16.22,3.92,"Jan 18, 2022",1.36 (2.14%),"Oct 29, 2021",67.97
63,BA,217.45,222.25,223.70 x 3000,223.07 x 1000,220.05 - 226.89,185.26 - 278.57,"17,585,427","9,773,393",131.586B,1.51,N/A,-14.51,"Jan 26, 2022",N/A (N/A),"Feb 13, 2020",N/A
64,BKNG,"2,436.10","2,442.84","2,462.50 x 4000","2,499.90 x 1100","2,441.77 - 2,495.00","1,860.73 - 2,687.29","251,962","346,812",100.965B,1.24,265.84,9.25,"Feb 22, 2022 - Feb 28, 2022",N/A (N/A),N/A,"2,715.11"
65,BWA,47.84,48.17,49.46 x 800,50.10 x 800,48.10 - 50.09,38.02 - 55.55,"2,459,513","1,770,273",11.96B,1.46,15.55,3.21,"Feb 15, 2022",0.68 (1.42%),"Nov 30, 2021",53.61
66,BXP,114.26,114.26,114.40 x 1000,114.61 x 800,113.43 - 114.64,88.45 - 124.24,"62,572","730,283",17.835B,1.19,55.86,2.04,"Jan 24, 2022 - Jan 28, 2022",3.92 (3.43%),"Dec 30, 2021",124.00
67,BSX,44.41,44.24,44.54 x 1300,44.55 x 1400,44.07 - 45.31,35.05 - 46.29,"10,748,356","7,779,223",63.512B,0.88,57.96,0.77,"Feb 02, 2022",N/A (N/A),N/A,51.09
68,BMY,64.82,64.65,64.00 x 1000,64.55 x 1200,63.86 - 64.96,53.22 - 69.75,"7,785,853","13,070,182",143.389B,0.63,N/A,-2.42,"Feb 04, 2022",2.16 (3.30%),"Jan 06, 2022",72.03
69,AVGO,622.00,627.47,596.00 x 1000,595.19 x 1100,594.15 - 627.88,419.14 - 677.76,"2,990,332","2,148,931",246.564B,0.99,39.81,15.00,"Mar 02, 2022 - Mar 07, 2022",16.40 (2.64%),"Dec 21, 2021",676.33
70,CHRW,107.63,109.12,107.28 x 800,107.53 x 800,107.29 - 110.50,84.67 - 110.50,"1,383,178","1,070,711",14.026B,0.73,19.11,5.65,"Jan 24, 2022 - Jan 28, 2022",2.20 (2.04%),"Dec 14, 2021",103.35
71,CDNS,170.18,170.60,162.99 x 1400,163.09 x 900,162.85 - 172.64,118.11 - 192.70,"1,450,643","1,333,019",45.218B,1.07,65.79,2.48,"Feb 22, 2022",N/A (N/A),N/A,179.78
72,CZR,87.95,87.94,84.56 x 1000,84.29 x 900,84.28 - 89.07,66.34 - 119.81,"2,055,246","2,273,257",18.119B,2.91,N/A,-5.42,"Feb 22, 2022",N/A (N/A),N/A,136.29
73,CPB,45.21,45.27,45.84 x 1300,45.85 x 1000,45.17 - 46.10,39.76 - 53.77,"1,970,715","2,500,447",13.844B,0.51,14.70,3.12,"Mar 08, 2022 - Mar 14, 2022",1.48 (3.27%),"Jan 05, 2022",45.91
74,COF,150.73,150.63,154.55 x 900,157.20 x 800,149.99 - 155.61,99.82 - 177.95,"3,286,301","2,818,312",65.839B,1.65,5.79,26.74,"Jan 25, 2022",2.40 (1.55%),"Nov 12, 2021",187.31
75,CAH,52.71,52.58,51.45 x 900,51.46 x 900,51.17 - 52.58,45.85 - 62.96,"2,499,567","3,373,387",14.481B,1.00,13.27,3.87,"Feb 03, 2022",1.96 (3.72%),"Dec 31, 2021",57.46
76,KMX,119.26,120.19,117.51 x 1100,117.58 x 800,117.19 - 120.58,104.86 - 155.98,"1,340,383","1,116,044",18.993B,1.45,16.18,7.26,"Apr 12, 2022",N/A (N/A),N/A,151.33
77,CCL,22.31,22.42,22.87 x 4000,22.87 x 3200,22.37 - 23.30,16.32 - 31.52,"42,559,090","39,703,714",26.696B,2.18,N/A,-8.46,"Apr 05, 2022 - Apr 11, 2022",N/A (N/A),"Feb 20, 2020",N/A
78,CARR,53.00,53.00,52.16 x 800,54.00 x 1300,52.07 - 53.31,34.21 - 58.89,"1,843,956","3,438,033",45.236B,N/A,20.94,2.49,"Feb 07, 2022 - Feb 11, 2022",0.60 (1.14%),"Dec 22, 2021",59.38
79,CTLT,124.96,125.90,125.60 x 1100,126.00 x 1000,125.05 - 126.97,97.86 - 142.64,"33,933","976,746",21.628B,1.34,39.77,3.18,"Jan 31, 2022 - Feb 04, 2022",N/A (N/A),N/A,159.46
80,CAT,222.40,222.89,226.81 x 1000,227.01 x 1100,222.64 - 227.88,179.34 - 246.69,"4,696,059","3,185,004",122.794B,0.91,24.28,9.35,"Jan 28, 2022",4.44 (2.00%),"Jan 19, 2022",230.35
81,CBRE,108.51,109.35,108.26 x 900,108.34 x 800,107.69 - 110.22,58.74 - 110.22,"552,997","1,357,996",36.301B,1.40,25.28,4.29,"Feb 24, 2022",N/A (N/A),N/A,128.00
82,CDW,202.76,203.45,204.26 x 1100,204.41 x 800,203.16 - 205.36,125.46 - 205.36,"109,683","871,730",27.864B,1.09,28.85,7.12,"Feb 08, 2022 - Feb 14, 2022",2.00 (0.99%),"Nov 23, 2021",212.11
83,CE,168.06,168.90,167.46 x 800,167.55 x 800,166.62 - 169.55,115.42 - 174.05,"406,050","670,634",18.234B,1.26,6.76,24.79,"Jan 26, 2022 - Jan 31, 2022",2.72 (1.62%),"Oct 29, 2021",194.27
84,CNC,80.32,80.16,79.25 x 800,80.18 x 900,79.44 - 80.76,57.16 - 85.44,"2,924,957","4,265,350",46.61B,0.54,63.96,1.25,"Feb 08, 2022",N/A (N/A),N/A,92.81
85,CNP,27.91,27.92,27.59 x 4000,27.60 x 900,27.41 - 27.96,19.31 - 28.37,"5,782,443","4,098,466",17.369B,0.96,17.56,1.57,"Feb 23, 2022 - Feb 28, 2022",0.68 (2.44%),"Feb 16, 2022",28.80
86,CERN,92.30,92.30,91.03 x 1400,92.63 x 1400,92.19 - 92.57,67.96 - 93.44,"3,016,471","4,447,685",26.959B,0.84,54.27,1.70,"Feb 08, 2022 - Feb 14, 2022",1.08 (1.17%),"Dec 23, 2021",89.81
87,CF,67.90,66.94,65.57 x 1000,66.50 x 800,65.50 - 67.97,39.87 - 74.77,"2,623,590","2,744,726",14.065B,1.05,47.52,1.38,"Feb 15, 2022 - Feb 21, 2022",1.20 (1.77%),"Nov 12, 2021",72.05
88,CRL,359.86,356.65,352.19 x 800,352.53 x 800,346.76 - 359.04,249.48 - 460.21,"418,472","386,601",17.756B,1.17,45.57,7.72,"Feb 15, 2022 - Feb 21, 2022",N/A (N/A),N/A,443.73
89,SCHW,91.74,91.47,0.00 x 1100,0.00 x 800,88.97 - 92.14,50.77 - 92.32,"6,553,989","5,568,764",173.273B,1.04,34.89,2.63,"Jan 18, 2022",0.72 (0.78%),"Nov 10, 2021",97.06
90,CHTR,613.98,618.03,619.08 x 900,619.76 x 1100,610.02 - 626.07,585.45 - 825.62,"891,829","1,123,304",110.995B,0.94,28.21,21.94,"Jan 27, 2022 - Jan 31, 2022",N/A (N/A),N/A,764.86
91,CVX,127.33,127.14,126.76 x 1100,127.20 x 1100,126.45 - 128.10,84.57 - 128.43,"9,191,426","10,677,428",244.431B,1.27,24.51,5.17,"Jan 28, 2022",5.36 (4.19%),"Nov 17, 2021",132.25
92,CMG,"1,554.07","1,554.06","1,500.00 x 900","1,514.00 x 800","1,504.77 - 1,576.92","1,256.27 - 1,958.55","310,266","233,004",42.412B,1.26,60.52,24.91,"Feb 08, 2022",N/A (N/A),N/A,"2,004.14"
93,CB,197.82,198.75,197.38 x 1100,197.41 x 900,196.83 - 199.82,144.00 - 201.32,"986,663","1,708,868",85.084B,0.82,10.04,19.67,"Feb 01, 2022",3.20 (1.62%),"Dec 16, 2021",N/A
94,CHD,102.50,101.37,101.34 x 1100,105.00 x 900,99.78 - 101.84,77.62 - 103.00,"1,427,813","1,343,003",25.427B,0.41,31.03,3.28,"Jan 28, 2022",1.01 (0.99%),"Nov 12, 2021",92.58
95,CI,227.54,227.14,233.18 x 1100,234.00 x 800,225.20 - 234.09,191.74 - 272.81,"2,049,761","1,890,673",77.282B,0.91,9.70,24.03,"Feb 03, 2022",4.00 (1.72%),"Dec 06, 2021",260.28
96,CINF,113.93,114.36,113.14 x 800,112.72 x 800,112.43 - 115.82,82.62 - 127.25,"391,128","500,814",18.227B,0.69,7.28,15.53,"Feb 08, 2022 - Feb 14, 2022",2.52 (2.21%),"Dec 15, 2021",134.80
97,CTAS,397.42,394.60,397.84 x 1000,398.33 x 800,390.71 - 399.73,314.62 - 461.44,"765,472","404,290",41.413B,1.46,37.30,10.70,"Mar 15, 2022 - Mar 21, 2022",3.80 (0.96%),"Nov 12, 2021",457.56
98,CSCO,62.12,62.08,61.49 x 1400,61.66 x 800,61.21 - 62.13,44.15 - 64.29,"13,836,763","20,937,607",259.383B,0.94,22.86,2.69,"Feb 07, 2022 - Feb 11, 2022",1.48 (2.38%),"Jan 04, 2022",63.20
99,C,67.28,67.53,67.80 x 3100,67.81 x 900,67.02 - 68.44,57.40 - 80.29,"28,502,228","22,326,019",134.494B,1.79,6.42,10.56,"Jan 14, 2022",2.04 (3.04%),"Oct 29, 2021",80.47
100,CFG,55.21,55.28,55.51 x 800,55.52 x 1800,55.13 - 56.08,35.09 - 56.08,"5,794,012","4,198,671",23.739B,1.57,11.18,4.98,"Jan 19, 2022",1.56 (2.86%),"Oct 28, 2021",57.97
101,CTXS,98.13,97.68,93.56 x 900,97.40 x 800,96.04 - 98.47,78.07 - 145.19,"758,117","1,683,362",12.076B,0.04,38.45,2.52,"Jan 17, 2022 - Jan 21, 2022",1.48 (1.52%),"Dec 06, 2021",97.85
102,CLX,179.70,179.75,0.00 x 800,0.00 x 900,178.60 - 180.87,156.23 - 231.11,"1,079,913","1,232,955",22.063B,0.18,51.79,3.47,"Feb 03, 2022",4.64 (2.58%),"Jan 25, 2022",163.91
103,CME,226.18,227.00,224.06 x 1100,223.43 x 800,223.13 - 229.00,177.73 - 232.64,"1,925,527","1,204,820",80.408B,0.46,33.00,6.78,"Feb 09, 2022",3.60 (1.59%),"Dec 27, 2021",234.25
104,KO,60.54,60.54,60.78 x 2900,61.04 x 1000,60.38 - 61.04,48.11 - 61.20,"12,904,497","16,748,034",263.053B,0.71,29.99,2.03,"Feb 08, 2022 - Feb 14, 2022",1.68 (2.78%),"Nov 30, 2021",63.12
105,CTSH,88.07,88.11,87.20 x 1000,87.14 x 1200,87.02 - 88.36,66.19 - 92.03,"2,268,505","2,684,001",46.333B,1.15,24.60,3.55,"Feb 01, 2022 - Feb 07, 2022",0.96 (1.09%),"Nov 18, 2021",89.02
106,CL,82.87,82.81,82.00 x 900,83.30 x 1200,81.97 - 82.84,74.01 - 85.61,"6,655,456","4,354,722",69.569B,0.62,26.29,3.14,"Jan 28, 2022",1.80 (2.17%),"Oct 20, 2021",85.84
107,CMCSA,50.05,50.37,0.00 x 800,0.00 x 800,49.87 - 50.92,46.29 - 61.80,"19,694,356","19,970,758",230.822B,0.94,16.25,3.11,"Jan 27, 2022",1.00 (1.98%),"Jan 04, 2022",63.54
108,CMA,97.12,97.60,0.00 x 1400,97.36 x 1100,95.83 - 97.82,55.87 - 98.53,"229,077","1,141,944",12.66B,1.51,12.02,8.03,"Jan 19, 2022",2.72 (2.80%),"Dec 14, 2021",96.06
109,CAG,33.54,33.60,34.00 x 1400,34.45 x 1000,33.58 - 34.59,30.44 - 39.09,"2,587,354","3,750,784",16.487B,0.83,15.08,2.28,"Apr 06, 2022 - Apr 11, 2022",1.25 (3.73%),"Jan 28, 2022",36.88
110,COP,84.40,83.94,83.62 x 900,83.52 x 2200,83.19 - 84.86,39.70 - 84.86,"6,547,679","7,666,887",110.291B,1.61,22.68,3.69,"Feb 03, 2022",1.52 (1.80%),"Dec 31, 2021",92.29
111,ED,84.78,84.75,84.71 x 1000,84.75 x 1000,82.21 - 85.09,65.56 - 86.25,"2,921,202","2,594,887",29.386B,0.22,24.61,3.38,"Feb 16, 2022 - Feb 21, 2022",3.10 (3.66%),"Nov 16, 2021",75.06
112,STZ,248.12,249.08,242.61 x 800,246.75 x 800,246.14 - 249.61,207.35 - 258.00,"552,439","1,025,690",46.37B,1.18,N/A,-0.28,"Apr 06, 2022 - Apr 11, 2022",3.04 (1.23%),"Feb 08, 2022",273.00
